Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GraphSAGE,0.2,500,0.0001,16,4928.22900390625
GIN,0.2,500,0.0001,16,6696.45849609375
GCN,0.2,500,0.0001,32,4809.435546875
GAT,0.2,500,0.0001,32,2400996096.0
GraphSAGE,0.2,500,0.0001,32,7278.7294921875
GIN,0.2,500,0.0001,32,7115.6953125
GCN,0.2,500,0.0001,64,6403.90625
GAT,0.2,500,0.0001,64,384009312.0
GraphSAGE,0.2,500,0.0001,64,7414.3642578125
GIN,0.2,500,0.0001,64,6668.046875
GCN,0.2,500,0.0001,128,7368.154296875
GAT,0.2,500,0.0001,128,22652950.0
GraphSAGE,0.2,500,0.0001,128,7527.01953125
GIN,0.2,500,0.0001,128,7290.61328125
GCN,0.1,50,0.005,16,4838.24267578125
GAT,0.1,50,0.005,16,156845.359375
GraphSAGE,0.1,50,0.005,16,4067.46923828125
GIN,0.1,50,0.005,16,7450.93017578125
GCN,0.1,50,0.005,32,3121.21533203125
GAT,0.1,50,0.005,32,59000.55859375
GraphSAGE,0.1,50,0.005,32,2954.99365234375
GIN,0.1,50,0.005,32,7482.59326171875
GCN,0.1,50,0.005,64,2512.8076171875
GAT,0.1,50,0.005,64,2197141.25
GraphSAGE,0.1,50,0.005,64,5242.2587890625
GIN,0.1,50,0.005,64,7476.42919921875
GCN,0.1,50,0.005,128,2657.99658203125
GAT,0.1,50,0.005,128,84160040.0
GraphSAGE,0.1,50,0.005,128,7517.416015625
GIN,0.1,50,0.005,128,7182.79541015625
GCN,0.1,50,0.001,16,2421.91748046875
GAT,0.1,50,0.001,16,113271.7421875
GraphSAGE,0.1,50,0.001,16,7285.04345703125
GIN,0.1,50,0.001,16,7290.50439453125
GCN,0.1,50,0.001,32,3727.686279296875
GAT,0.1,50,0.001,32,1405347.375
GraphSAGE,0.1,50,0.001,32,7419.53515625
GIN,0.1,50,0.001,32,7343.63232421875
GCN,0.1,50,0.001,64,2411.048583984375
GAT,0.1,50,0.001,64,606697.25
GraphSAGE,0.1,50,0.001,64,7504.5771484375
GIN,0.1,50,0.001,64,6228.7607421875
GCN,0.1,50,0.001,128,2817.8623046875
GAT,0.1,50,0.001,128,404094048.0
GraphSAGE,0.1,50,0.001,128,7516.53173828125
GIN,0.1,50,0.001,128,7589.02880859375
GCN,0.1,50,0.0005,16,2986.0107421875
GAT,0.1,50,0.0005,16,121748.984375
GraphSAGE,0.1,50,0.0005,16,7376.9921875
GIN,0.1,50,0.0005,16,7078.00439453125
GCN,0.1,50,0.0005,32,2687.1142578125
GAT,0.1,50,0.0005,32,2453171.75
GraphSAGE,0.1,50,0.0005,32,7456.39892578125
GIN,0.1,50,0.0005,32,7493.28173828125
GCN,0.1,50,0.0005,64,2903.95166015625
GAT,0.1,50,0.0005,64,27014624.0
